sidebar|accordion_panel|component|gate_flag|pipeline-static|pipeline-exploration-simple|pipeline-exploration-advanced|project-independent|developer|code_status|phase25_action|notes|
LEFT|Nav Pills|Home tab|always_on|SHOW|SHOW|SHOW|SHOW|SHOW|IMPLEMENTED|NONE|Always visible|
LEFT|Nav Pills|Blueprint Architect tab|wrangle_studio_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|IMPLEMENTED|NONE|Correctly gated via bootloader.is_enabled()|
LEFT|Nav Pills|Test Lab tab (rename from Dev Studio)|developer_mode_enabled|HIDE|HIDE|HIDE|HIDE|SHOW|IMPLEMENTED|RENAME_UI|Rename label only — keep same gate flag. Purpose: tools for testing and mock data generation.|
LEFT|Nav Pills|Gallery tab|gallery_enabled|HIDE|HIDE|HIDE|SHOW|SHOW|BUG_WRONG|FIX_BUG + CONFIG|Two changes: (1) Fix gallery always-visible bug in conditional rendering. (2) Add gallery_enabled=true to project-independent_template.yaml + update cheatsheet + persona matrix.|
LEFT|Accordion|Manifest Choice (rename from Project Navigator)|manifest_selector.visible|HIDE|HIDE|SHOW|SHOW|SHOW|NOT_GATED|NEW_FIELD + VALIDATOR|New field in persona template (see below). When visible=false: manifest fixed from config, selector not rendered. Rename UI label to 'Manifest Choice'. New validator check: if visible=false then fixed_manifest path must be provided.|
LEFT|Accordion|Manifest Choice — fixed_manifest path|manifest_selector.fixed_manifest|REQUIRED|REQUIRED|N/A|N/A|N/A|MISSING|NEW_FIELD|New field in persona template under manifest_selector section. Required when manifest_selector.visible=false. Example: fixed_manifest: config/manifests/my_pipeline.yaml|
LEFT|Accordion|Data Import (NEW — full panel)|always_on|SHOW(RO)|SHOW|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|New accordion panel. For pipeline-static: read-only display of configured data path only. All other personas: active data selection. Replaces the buried ingestion slots in System Tools. See sub-components below.|
LEFT|Accordion|Data Import — testing_mode toggle|testing_mode (new persona flag)|SHOW|SHOW|SHOW|SHOW|SHOW|MISSING|NEW_FIELD + BUILD_NEW|New flag testing_mode: true/false in persona template. When true: use default test data paths from manifest (no user selection needed). When false: user must provide data path(s) or data is injected automatically by pipeline. Toggle visible to all personas so tester can switch modes.|Toogle only visible if in testing mode defined in the persona manifest –> We need to discuss that, I do not think we should have a toogle, I think this should be decided byt the persona configuration – testing vs production mode.  Production vs testing
LEFT|Accordion|Data Import — data directory / file selector|testing_mode=false|HIDE|SHOW|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|Active only when testing_mode=false. Allows selecting data directory or individual files. Must support multiple files as required by the active manifest (data + metadata + additional). Hidden for pipeline-static (data always injected by pipeline). Hum, we have a logic problem here, it should be able to be active in testing_mode=true, but by default in testing mode the data uploaded in the dashboard is linked to the manifest configuration. But we need to be able to test that it works before going to production – does that makes sense ?|
LEFT|Accordion|Data Import — manifest ingestion (upload YAML)|metadata_ingestion_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|MISSING|BUILD_NEW + RESTRUCTURE|Move manifest upload here from Blueprint Architect sidebar (where it is currently buried). Gate on metadata_ingestion_enabled. Here I think there is a difference between manifest and data. The manifest is the recipe to process the data. It can process any data provided the data scheme is the same. Metadata upload is done to allow adding new metadata (eg. updated and it must conform to the schema for metadata described in the manifest. Here I think you confuse the usage of data and manifest)|
LEFT|Accordion|Data Import — multi-file / Excel ingestion|data_ingestion_enabled|HIDE|HIDE|HIDE|SHOW|SHOW|NOT_GATED|GATE + RESTRUCTURE|Move from System Tools to Data Import. Gate on bootloader.is_enabled('data_ingestion_enabled'). Needs data-type-to-manifest mapping (data / metadata / additional data mapped to manifest fields).|
LEFT|Accordion|Data Import — metadata replacement (TSV upload)|metadata_ingestion_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|NOT_GATED|GATE + RESTRUCTURE|Move from System Tools to Data Import. Gate on bootloader.is_enabled('metadata_ingestion_enabled').|
LEFT|Accordion|Filters — pending row list (read-only display)|always_on|SHOW(RO)|SHOW|SHOW|SHOW|SHOW|IMPLEMENTED|NONE|Passive display only. Correct for all personas as-is.|
LEFT|Accordion|Filters — filter form (column / op / value)|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE|Gate on bootloader.is_enabled('interactivity_enabled'). pipeline-static: hide form entirely — show read-only message 'Filters are set by the pipeline configuration'. pipeline-exploration-simple: show form with disclaimer label 'Exploration only — no changes will be saved'.|
LEFT|Accordion|Filters — Add Row button|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE|Hidden for pipeline-static. Visible for all others (exploration mode or full T3 audit mode).|
LEFT|Accordion|Filters — Apply / Audit button (single button — label changes per tier)|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE + DOCUMENT|Gate on interactivity_enabled. Label behavior (already correct in code): T1/T2 = 'Apply (N)' (commits to transient view, no audit trail). T3 = '➜ Audit (N)' (opens propagation modal). No code logic change — just add the gate + document clearly in persona matrix.|
LEFT|Accordion|Filters — Reset button|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE|Hidden for pipeline-static. Visible whenever filters are permitted (exploration or T3 audit).|
LEFT|Accordion|Filters — Remove row button (✕ → 🗑)|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|IMPLEMENTED|RENAME_UI|Replace ✕ with 🗑 trash icon to match right-sidebar audit node delete button (visual consistency). Gate same as rest of filter form.|
LEFT|Accordion|Global Project Export (rename from System Tools — Export Bundle)|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|GATE + RENAME_UI|Promote to its own named accordion panel. Visible and active for ALL personas (export_bundle_enabled=true for all). Gate on bootloader.is_enabled('export_bundle_enabled'). Previously ungated — fix the flag check.|
LEFT|Accordion|Global Project Export — bundle name field|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|RENAME_UI|Rename placeholder: 'Bundle name (no spaces, no special chars)'. Add hover tooltip: 'Used in the exported filename. Letters, numbers, hyphens and underscores only.'|
LEFT|Accordion|Global Project Export — export quality selector|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|RENAME_UI|Keep Web/Publication presets. Add ℹ hover: '300 DPI — web/presentations. ≥600 DPI — journal figures.' Ensure ≥10px spacing above this element.|
LEFT|Accordion|Global Project Export — plot format selector (NEW)|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|New selector: PNG (default) / SVG / PDF. Visible to all personas. PNG default (most users understand PNG; SVG for web; PDF for LaTeX pipelines).|
LEFT|Accordion|Global Project Export — audit report format selector (NEW, consolidates current two buttons)|export_bundle_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|PARTIAL|RESTRUCTURE + BUILD_NEW|Consolidate current separate HTML and Pandoc buttons into: (1) format selector HTML / PDF / DOCX, (2) single 'Export Audit Report' button. PDF/DOCX rendered server-side via Quarto (to be bundled with Docker). Only for personas with T3 audit (advanced+). Show unavailable formats with tooltip if Quarto render fails.|
LEFT|Accordion|Global Project Export — export bundle download button|export_bundle_enabled|SHOW|SHOW|SHOW|SHOW|SHOW|NOT_GATED|GATE|Gate on bootloader.is_enabled('export_bundle_enabled'). Add download location awareness (use connector/persona configured path where available).|
LEFT|Accordion|Session Management (split from System Tools)|session_management_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|HARDCODED_WRONG|FIX_BUG|Fix PERSONA-1: replace hardcoded advanced_personas set with bootloader.is_enabled('session_management_enabled'). pipeline-exploration-simple has session_management_enabled=true in template — should be visible after fix.|
LEFT|Accordion|Session Management — session import (.zip)|session_management_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|HARDCODED_WRONG|FIX_BUG|Part of PERSONA-1 fix. Session zip must include manifest hash + data hash for integrity check on restore.|
LEFT|Accordion|Session Management — session export (.zip)|session_management_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|MISSING|BUILD_NEW|Add download button: 'Export Session (.zip)'. Must bundle state + manifest_sha256 + data_batch_hash. Active when a session is loaded.|
LEFT|Accordion|Single Graph Export (new accordion panel — deferred)|export_graph_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|DEFERRED|DEFERRED|Phase 22 deferred. Build per Phase 22 spec: single plot file + associated data + manifest section + user modifications (reproducibility). Gate on export_graph_enabled. Must also be possible to be enabled/disabled via persona configuration. We can remove the deferred|
RIGHT|Right Sidebar|Full audit stack (T3 recipe + gatekeeper)|interactivity_enabled (T3 audit capability)|HIDE|HIDE|SHOW|SHOW|SHOW|IMPLEMENTED|DOCUMENT|Layout element excluded (not CSS-hidden) for static and simple — correct. Visibility rule: shown when persona has T3 audit capability (same set as today). Document this clearly in persona matrix as 't3_audit' capability column.|
RIGHT|Right Sidebar|Active plot header 'My Adjustments — plot_id'|always_on|HIDE|HIDE|SHOW|SHOW|SHOW|IMPLEMENTED|VISUAL_FIX|Make bold + amber/yellow background (#fffde7). Add 4-6px bottom margin before first node. (Visual only — no logic change.)|
RIGHT|Right Sidebar|Comparison mode toggle|comparison_mode_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|NOT_CHECKED|FIX_BUG (AUDIT-4)|Fix AUDIT-4: comparison toggle resets on plot switch (reactive scoping bug). Separately: gate on comparison_mode_enabled flag via bootloader.is_enabled() instead of hardcoded persona name check. Toggle only meaningful when T3 audit active.|
