species	mic_value
E. coli	0.25
E. coli	0.25
E. coli	0.50
E. coli	0.50
E. coli	0.50
E. coli	1.00
E. coli	1.00
E. coli	1.00
E. coli	2.00
E. coli	2.00
E. coli	4.00
E. coli	4.00
E. coli	8.00
E. coli	8.00
E. coli	16.00
K. pneumoniae	1.00
K. pneumoniae	1.00
K. pneumoniae	2.00
K. pneumoniae	2.00
K. pneumoniae	4.00
K. pneumoniae	4.00
K. pneumoniae	4.00
K. pneumoniae	8.00
K. pneumoniae	8.00
K. pneumoniae	16.00
K. pneumoniae	16.00
K. pneumoniae	32.00
K. pneumoniae	32.00
K. pneumoniae	64.00
K. pneumoniae	64.00
S. aureus	0.12
S. aureus	0.12
S. aureus	0.25
S. aureus	0.25
S. aureus	0.25
S. aureus	0.50
S. aureus	0.50
S. aureus	0.50
S. aureus	1.00
S. aureus	1.00
S. aureus	2.00
S. aureus	2.00
S. aureus	2.00
S. aureus	4.00
S. aureus	8.00